iter	Logloss	Accuracy
0	0.6842541157	0.6854066986
1	0.6759613395	0.7200956938
2	0.6673184381	0.7535885167
3	0.6594498206	0.7679425837
4	0.6519354326	0.769138756
5	0.6451126323	0.7667464115
6	0.6389701121	0.7751196172
7	0.6331914778	0.788277512
8	0.6256936688	0.79784689
9	0.6206796227	0.7918660287
10	0.6146488193	0.7966507177
11	0.6104237001	0.8002392344
12	0.6061639297	0.7990430622
13	0.6009678366	0.793062201
14	0.5956123587	0.7894736842
15	0.5905201264	0.7966507177
16	0.5854698111	0.7954545455
17	0.582442049	0.7942583732
18	0.5777958483	0.793062201
19	0.5730803707	0.7918660287
20	0.568462285	0.7942583732
21	0.5644897162	0.8014354067
22	0.5607665032	0.7990430622
23	0.5552700316	0.8050239234
24	0.5516003945	0.8038277512
25	0.5477482086	0.8086124402
26	0.5439316174	0.8098086124
27	0.5403308305	0.8157894737
28	0.5368771692	0.8169856459
29	0.5337902776	0.8205741627
30	0.531038899	0.8169856459
31	0.5281434451	0.8193779904
32	0.5250441315	0.8205741627
33	0.5219796705	0.8253588517
34	0.5195744599	0.8253588517
35	0.5164193493	0.8265550239
36	0.5139071998	0.8289473684
37	0.5106868636	0.8337320574
38	0.5067794357	0.8325358852
39	0.5044730951	0.8337320574
40	0.5021643312	0.8361244019
41	0.4999848401	0.8373205742
42	0.4970500658	0.8468899522
43	0.4944619048	0.8456937799
44	0.4900957033	0.8516746411
45	0.4874815676	0.8516746411
46	0.4854990021	0.8552631579
47	0.482083553	0.8528708134
48	0.4803713666	0.8540669856
49	0.4781260795	0.8600478469
50	0.4761651443	0.8576555024
51	0.4733296859	0.8600478469
52	0.4712196509	0.8588516746
53	0.468983456	0.8588516746
54	0.4665251954	0.8576555024
55	0.4641284497	0.8612440191
56	0.4617363474	0.8636363636
57	0.4584281229	0.8672248804
58	0.4565360102	0.8672248804
59	0.4543053857	0.8696172249
60	0.4520784454	0.8720095694
61	0.4502625997	0.8732057416
62	0.4475796566	0.8779904306
63	0.4459366354	0.8803827751
64	0.4440913036	0.8827751196
65	0.4420122127	0.8851674641
66	0.4400562002	0.8887559809
67	0.437883357	0.8935406699
68	0.4348608168	0.8923444976
69	0.432529428	0.8947368421
70	0.4311495225	0.8971291866
71	0.4290165544	0.8983253589
72	0.4275748959	0.9007177033
73	0.425930281	0.9007177033
74	0.4239343512	0.9019138756
75	0.4209062936	0.9031100478
76	0.4196662326	0.9031100478
77	0.4177111973	0.9007177033
78	0.4149776783	0.9007177033
79	0.4133842664	0.9007177033
80	0.4123608199	0.9007177033
81	0.4106761177	0.9019138756
82	0.4089237281	0.9019138756
83	0.4067301833	0.9031100478
84	0.4055171614	0.9019138756
85	0.4040220441	0.9019138756
86	0.403044853	0.9031100478
87	0.4011980919	0.9090909091
88	0.3997482783	0.9078947368
89	0.3987594707	0.9078947368
90	0.3974525014	0.9114832536
91	0.3958754472	0.9162679426
92	0.3940967097	0.9138755981
93	0.3917973437	0.9138755981
94	0.3896794691	0.9162679426
95	0.3883621144	0.9162679426
96	0.3867311637	0.9186602871
97	0.3852073888	0.9198564593
