iter	Passed	Remaining
0	63	63111
1	66	33001
2	68	22930
3	72	18053
4	75	14980
5	78	12943
6	81	11501
7	83	10406
8	86	9566
9	89	8873
10	93	8370
11	96	7945
12	99	7540
13	102	7193
14	104	6892
15	107	6631
16	110	6409
17	113	6210
18	116	6025
19	119	5860
20	122	5708
21	125	5566
22	128	5439
23	130	5325
24	133	5216
25	136	5117
26	139	5022
27	142	4938
28	145	4857
29	147	4777
30	150	4706
31	153	4638
32	156	4583
33	159	4524
34	162	4470
35	164	4415
36	167	4363
37	170	4317
38	173	4273
39	176	4232
40	179	4192
41	182	4155
42	185	4118
43	187	4080
44	190	4046
45	193	4014
46	196	3981
47	199	3951
48	202	3920
49	204	3894
50	207	3868
51	210	3842
52	213	3816
53	216	3790
54	219	3767
55	222	3746
56	225	3724
57	227	3702
58	230	3680
59	233	3659
60	236	3641
61	239	3623
62	242	3605
63	245	3587
64	248	3570
65	251	3552
66	253	3534
67	256	3516
68	259	3502
69	262	3485
70	265	3470
71	268	3455
72	270	3439
73	273	3425
74	276	3409
75	279	3396
76	282	3383
77	285	3370
78	288	3357
79	290	3344
80	294	3342
81	297	3328
82	300	3315
83	302	3303
84	305	3292
85	308	3281
86	311	3268
87	314	3257
88	317	3246
89	320	3236
90	322	3224
91	325	3214
92	328	3203
93	331	3192
94	334	3185
95	337	3176
96	340	3167
97	343	3157
98	345	3147
99	348	3138
100	351	3128
101	354	3119
102	357	3111
103	360	3101
104	362	3092
105	365	3083
106	368	3074
107	371	3065
108	373	3056
109	376	3050
110	379	3041
111	382	3034
112	385	3026
113	388	3018
114	391	3010
115	394	3003
116	396	2995
117	399	2987
118	402	2979
119	405	2973
120	408	2965
121	411	2959
122	414	2952
123	416	2944
124	419	2937
125	422	2930
126	425	2924
127	428	2918
128	431	2912
129	434	2906
130	437	2899
131	440	2895
132	443	2888
133	446	2882
134	448	2876
135	451	2870
136	454	2863
137	457	2857
138	460	2851
139	463	2845
140	465	2838
141	468	2831
142	471	2826
143	474	2819
144	477	2813
145	480	2807
146	482	2801
147	485	2795
148	488	2790
149	491	2784
150	494	2778
151	497	2773
152	499	2767
153	502	2761
154	505	2755
155	508	2749
156	511	2744
157	513	2738
158	516	2733
159	519	2728
160	522	2723
161	525	2718
162	528	2713
163	531	2708
164	534	2703
165	537	2698
166	539	2693
167	542	2687
168	545	2682
169	548	2677
170	551	2671
171	553	2666
172	556	2662
173	559	2657
174	562	2652
175	565	2648
176	568	2643
177	571	2639
178	574	2634
179	577	2629
180	580	2625
181	582	2619
182	586	2616
183	589	2614
184	592	2611
185	596	2608
186	598	2603
187	602	2603
188	606	2600
189	609	2597
190	612	2594
191	615	2591
192	619	2588
193	622	2584
194	624	2579
195	627	2575
196	630	2570
197	633	2565
198	636	2562
199	639	2558
200	642	2553
201	645	2548
202	648	2544
203	650	2539
204	654	2536
205	656	2532
206	659	2527
207	662	2523
208	665	2518
209	668	2515
210	671	2511
211	674	2506
212	677	2502
213	680	2498
214	682	2493
215	685	2489
216	688	2485
217	691	2481
218	694	2476
219	697	2472
220	700	2468
221	703	2464
222	705	2459
223	708	2455
224	711	2451
225	714	2447
226	717	2444
227	720	2440
228	723	2436
229	726	2432
230	729	2427
231	732	2423
232	735	2421
233	738	2418
234	741	2414
235	744	2410
236	747	2406
237	750	2403
238	753	2399
239	756	2395
240	759	2391
241	761	2386
242	764	2382
243	767	2378
244	770	2374
245	773	2370
246	776	2366
247	778	2361
248	781	2357
249	784	2353
250	787	2349
251	790	2346
252	793	2341
253	795	2337
254	798	2333
255	801	2329
256	804	2325
257	807	2321
258	809	2317
259	812	2313
260	815	2309
261	818	2306
262	821	2302
263	824	2298
264	827	2294
265	830	2290
266	833	2287
267	836	2283
268	838	2279
269	841	2275
270	844	2271
271	847	2267
272	849	2263
273	852	2259
274	855	2255
275	858	2251
276	861	2247
277	864	2244
278	866	2240
279	869	2236
280	872	2232
281	875	2228
282	878	2225
283	881	2221
284	884	2217
285	887	2214
286	890	2211
287	893	2207
288	895	2204
289	898	2200
290	902	2197
291	905	2194
292	907	2190
293	910	2187
294	913	2183
295	916	2180
296	919	2176
297	922	2173
298	925	2169
299	928	2165
300	931	2162
301	934	2158
302	936	2155
303	939	2151
304	942	2147
305	945	2144
306	948	2140
307	951	2136
308	954	2133
309	957	2130
310	960	2126
311	963	2124
312	966	2120
313	969	2117
314	972	2113
315	974	2110
316	977	2107
317	980	2103
318	985	2104
319	988	2100
320	991	2097
321	994	2093
322	997	2090
323	1000	2086
324	1003	2083
325	1006	2079
326	1008	2076
327	1011	2072
328	1014	2069
329	1017	2066
330	1020	2062
331	1023	2059
332	1026	2055
333	1029	2052
334	1032	2049
335	1035	2045
336	1038	2042
337	1040	2038
338	1043	2035
339	1046	2032
340	1049	2028
341	1052	2025
342	1055	2022
343	1058	2018
344	1061	2015
345	1064	2012
346	1067	2009
347	1070	2005
348	1073	2002
349	1076	1998
350	1079	1996
351	1083	1993
352	1086	1992
353	1090	1990
354	1094	1988
355	1097	1985
356	1101	1983
357	1104	1980
358	1107	1977
359	1110	1974
360	1113	1971
361	1117	1968
362	1120	1965
363	1122	1961
364	1125	1958
365	1129	1955
366	1132	1952
367	1135	1949
368	1138	1946
369	1140	1942
370	1144	1939
371	1147	1936
372	1150	1933
373	1152	1929
374	1155	1926
375	1158	1923
376	1161	1919
377	1164	1916
378	1167	1913
379	1170	1909
380	1173	1906
381	1176	1903
382	1179	1900
383	1182	1897
384	1185	1893
385	1189	1892
386	1194	1891
387	1198	1889
388	1202	1889
389	1210	1893
390	1215	1892
391	1219	1891
392	1224	1890
393	1231	1893
